id,topic,category,source_hint,priority,status,created_at,notes
1,Origin of the word OK,etymology,Boston Morning Post 1839,high,pending,2026-04-09,Most used word globally — great hook
2,Why Japanese has three writing systems,writing systems,Japanese language history,medium,pending,2026-04-09,Hiragana katakana kanji — visual contrast angle
3,The click languages of Southern Africa,phonetics,Khoisan languages research,medium,pending,2026-04-09,Sounds most people cannot reproduce
4,How emoji became a universal language,modern language,Unicode Consortium records,high,pending,2026-04-09,From Japanese mobile phones to global standard
5,The longest word in English debate,vocabulary,Various dictionaries,low,pending,2026-04-09,Pneumonoultramicroscopicsilicovolcanoconiosis vs real usage
6,Why English spelling is so inconsistent,orthography,History of English spelling,high,pending,2026-04-09,Through tough thought — the GH problem
7,Languages that have no word for blue,color terms,Berlin and Kay 1969,medium,pending,2026-04-09,Russian goluboy vs siniy angle
8,How the alphabet got its order,writing systems,Phoenician alphabet history,medium,pending,2026-04-09,Aleph Beth — 3000 years and barely changed
9,The language you dream in,psycholinguistics,Dream research studies,high,pending,2026-04-09,Bilingual dreaming patterns — relatable hook
10,Words English stole from other languages,etymology,Loanword research,high,pending,2026-04-09,Everyday words that are secretly foreign
